ID,GeneAssociation,Fullname,Reaction,LowBound,UpBound
R_OMCDC, b0073, "2-Oxo-4-methyl-3-carboxypentanoate decarboxylation", M_3c4mop_c + M_h_c -> M_4mop_c + M_co2_c, 0.0, 999999.0
R_UAGDP, b3730, "UDP-N-acetylglucosamine diphosphorylase", M_acgam1p_c + M_h_c + M_utp_c -> M_ppi_c + M_uacgam_c, 0.0, 999999.0
R_ADNt2_copy2, b2406, "Adenosine transport in via proton symport", M_adn_e + M_h_e <-> M_adn_c + M_h_c, -999999.0, 999999.0
R_EX_orn_e, , "Ornithine exchange", M_orn_e <-> M_orn_b, -999999.0, 999999.0
R_HSK, b0003, "Homoserine kinase", M_atp_c + M_hom__L_c -> M_adp_c + M_h_c + M_phom_c, 0.0, 999999.0
R_LCARS, b2799, "Lacaldehyde reductase (S-propane-1,2-diol forming)", M_h_c + M_lald__L_c + M_nadh_c <-> M_12ppd__S_c + M_nad_c, -999999.0, 999999.0
R_HSST, b4013, "Homoserine O-succinyltransferase", M_hom__L_c + M_succoa_c -> M_coa_c + M_suchms_c, 0.0, 999999.0
R_NAt3_1, b1216, "Sodium proton antiporter  HNA is 11 ", M_h_e + M_na1_c <-> M_h_c + M_na1_e, -999999.0, 999999.0
R_FTHFD, b1232, "Formyltetrahydrofolate deformylase", M_10fthf_c + M_h2o_c -> M_for_c + M_h_c + M_thf_c, 0.0, 999999.0
R_ANPRT, b1263, "Anthranilate phosphoribosyltransferase", M_anth_c + M_prpp_c -> M_ppi_c + M_pran_c, 0.0, 999999.0
R_PIt2r, (b3493 | b2987), "Phosphate reversible transport via symport", M_h_e + M_pi_e <-> M_h_c + M_pi_c, -999999.0, 999999.0
R_PUNP2, (b2407 | b4384), "Purine-nucleoside phosphorylase (Deoxyadenosine)", M_dad_2_c + M_pi_c <-> M_2dr1p_c + M_ade_c, -999999.0, 999999.0
R_OHPBAT, b0907, "O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase", M_glu__L_c + M_ohpb_c <-> M_akg_c + M_phthr_c, -999999.0, 999999.0
R_ALDD2x, b1300, "Aldehyde dehydrogenase (acetaldehyde, NAD)", M_acald_c + M_h2o_c + M_nad_c -> M_ac_c + 2.0 M_h_c + M_nadh_c, 0.0, 999999.0
R_LPLIPA6, b3825, "Lysophospholipase L (acyl transfer to phosphatidylglycerol)", 0.02 M_agpg_EC_c + 0.02 M_pg_EC_c -> 0.02 M_apg_EC_c + M_g3pg_c, 0.0, 999999.0
R_PROt4, b1015, "Na+/Proline-L symporter", M_na1_e + M_pro__L_e -> M_na1_c + M_pro__L_c, 0.0, 999999.0
R_EX_adn_e, , "Adenosine exchange", M_adn_e <-> M_adn_b, -999999.0, 999999.0
R_MECDPS, b2746, "2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase", M_2p4c2me_c -> M_2mecdp_c + M_cmp_c, 0.0, 999999.0
R_SUCCt2_3, (b4123 | b4138), "Succintate transport via proton symport (3 H)", 3.0 M_h_e + M_succ_e -> 3.0 M_h_c + M_succ_c, 0.0, 999999.0
R_HEX1, b2388, "Hexokinase (D-glucose:ATP)", M_atp_c + M_glc__D_c -> M_adp_c + M_g6p_c + M_h_c, 0.0, 999999.0
R_TDPADGAT, b3790, "DTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase", M_accoa_c + M_dtdp4addg_c -> M_coa_c + M_dtdp4aaddg_c + M_h_c, 0.0, 999999.0
R_RPE, (b3386 | b4301), "Ribulose 5-phosphate 3-epimerase", M_ru5p__D_c <-> M_xu5p__D_c, -999999.0, 999999.0
R_ARGORNt7, b1605, "Arginine/ornithine antiporter", M_arg__L_e + M_orn_c <-> M_arg__L_c + M_orn_e, -999999.0, 999999.0
R_CDPMEK, b1208, "4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase", M_4c2me_c + M_atp_c -> M_2p4c2me_c + M_adp_c + M_h_c, 0.0, 999999.0
R_ENTCS_1, b0583, "Enterochelin synthase", 3.0 M_23dhba_c + 3.0 M_seramp_c -> 6.0 M_amp_c + M_enter_c + 6.0 M_h_c, 0.0, 999999.0
R_ADSK, b2750, "Adenylyl-sulfate kinase", M_aps_c + M_atp_c -> M_adp_c + M_h_c + M_paps_c, 0.0, 999999.0
R_GUI1, b3092, "Glucuronate isomerase (D-glucuronate)", M_glcur_c <-> M_fruur_c, -999999.0, 999999.0
R_PGAMT, b3176, "Phosphoglucosamine mutase", M_gam1p_c <-> M_gam6p_c, -999999.0, 999999.0
R_EX_cbl1_e, , "Cob(I)alamin exchange", M_cbl1_e <-> M_cbl1_b, -999999.0, 999999.0
R_SADH, b1748, "Succinylarginine dihydrolase", 2.0 M_h2o_c + 2.0 M_h_c + M_sucarg_c -> M_co2_c + 2.0 M_nh4_c + M_sucorn_c, 0.0, 999999.0
R_ADOCBIK, b1993, "Adenosyl cobinamide kinase", M_adocbi_c + M_atp_c -> M_adocbip_c + M_adp_c + M_h_c, 0.0, 999999.0
R_XYLK, b3564, "Xylulokinase", M_atp_c + M_xylu__D_c -> M_adp_c + M_h_c + M_xu5p__D_c, 0.0, 999999.0
R_GUAt2r, b3654, "Guanine reversible transport via proton symport", M_gua_e + M_h_e -> M_gua_c + M_h_c, 0.0, 999999.0
R_MLTG3, b0403, "Maltodextrin glucosidase (maltopentaose)", M_h2o_c + M_maltpt_c -> M_glc__D_c + M_maltttr_c, 0.0, 999999.0
R_VALTA, b3770, "Valine transaminase", M_akg_c + M_val__L_c <-> M_3mob_c + M_glu__L_c, -999999.0, 999999.0
R_EX_chol_e, , "Choline exchange", M_chol_e <-> M_chol_b, -999999.0, 999999.0
R_PEAMNO, b1386, "Phenethylamine oxidase", M_h2o_c + M_o2_c + M_peamn_c -> M_h2o2_c + M_nh4_c + M_pacald_c, 0.0, 999999.0
R_EX_cytd_e, , "Cytidine exchange", M_cytd_e <-> M_cytd_b, -999999.0, 999999.0
R_SHCHF, b3368, "Sirohydrochlorin ferrochelatase", M_fe2_c + M_scl_c -> 3.0 M_h_c + M_sheme_c, 0.0, 999999.0
R_GCALDD, b1415, "Glycolaldehyde dehydrogenase", M_gcald_c + M_h2o_c + M_nad_c -> M_glyclt_c + 2.0 M_h_c + M_nadh_c, 0.0, 999999.0
R_DHPPD, b2541, "2,3-dihydroxyphenylpropionate dehydrogenase", M_cechddd_c + M_nad_c -> M_dhpppn_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_GLCURt2r, (b3093 | b3909), "D-glucuronate transport via proton symport, reversible", M_glcur_e + M_h_e <-> M_glcur_c + M_h_c, -999999.0, 999999.0
R_PMDPHT, , "Pyrimidine phosphatase", M_5aprbu_c + M_h2o_c -> M_4r5au_c + M_pi_c, 0.0, 999999.0
R_SHSL1, b3939, "O-succinylhomoserine lyase (L-cysteine)", M_cys__L_c + M_suchms_c -> M_cyst__L_c + M_h_c + M_succ_c, 0.0, 999999.0
R_EX_lac__D_e, , "D-lactate exchange", M_lac__D_e <-> M_lac__D_b, -999999.0, 999999.0
R_CBPS, (b0032 & b0033), "Carbamoyl-phosphate synthase (glutamine-hydrolysing)", 2.0 M_atp_c + M_gln__L_c + M_h2o_c + M_hco3_c -> 2.0 M_adp_c + M_cbp_c + M_glu__L_c + 2.0 M_h_c + M_pi_c, 0.0, 999999.0
R_ALAR_copy2, b1190, "Alanine racemase", M_ala__L_c -> M_ala__D_c, 0.0, 999999.0
R_GLYBt2r, b1801, "Glycine betaine transport via proton symport, reversible", M_glyb_e + M_h_e <-> M_glyb_c + M_h_c, -999999.0, 999999.0
R_NADH5, b1109, "NADH dehydrogenase (ubiquinone-8 )", M_h_c + M_nadh_c + M_q8_c -> M_nad_c + M_q8h2_c, 0.0, 999999.0
R_CS, b0720, "Citrate synthase", M_accoa_c + M_h2o_c + M_oaa_c -> M_cit_c + M_coa_c + M_h_c, 0.0, 999999.0
R_GLYCt, b3927, "Glycerol transport via channel", M_glyc_c <-> M_glyc_e, -999999.0, 999999.0
R_ADNCYC, b3806, "Adenylate cyclase", M_atp_c -> M_camp_c + M_ppi_c, 0.0, 999999.0
R_EX_xan_e, , "Xanthine exchange", M_xan_e <-> M_xan_b, -999999.0, 999999.0
R_EX_nh4_e, , "Ammonia exchange", M_nh4_e <-> M_nh4_b, -999999.0, 999999.0
R_AGMT, b2937, "Agmatinase", M_agm_c + M_h2o_c -> M_ptrc_c + M_urea_c, 0.0, 999999.0
R_RBFK, b0025, "Riboflavin kinase", M_atp_c + M_ribflv_c -> M_adp_c + M_fmn_c + M_h_c, 0.0, 999999.0
R_DMSOR1e, (b1873 & b1872), "Dimethyl sulfoxide reductase (Menaquinol 8)", M_dmso_e + M_mql8_c -> M_dms_e + M_h2o_e + M_mqn8_c, 0.0, 999999.0
R_SHKK, (b3390 | b0388), "Shikimate kinase", M_atp_c + M_skm_c -> M_adp_c + M_h_c + M_skm5p_c, 0.0, 999999.0
R_DHAD1, b3771, "Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)", M_23dhmb_c -> M_3mob_c + M_h2o_c, 0.0, 999999.0
R_SUCD1, (b0722 & b0721 & b0723 & b0724), "Succinate dehydrogenase", M_fad_c + M_succ_c -> M_fadh2_c + M_fum_c, 0.0, 999999.0
R_THD2, (b1602 & b1603), "NAD(P) transhydrogenase", 2.0 M_h_e + M_nadh_c + M_nadp_c -> 2.0 M_h_c + M_nad_c + M_nadph_c, 0.0, 999999.0
R_CHLabc, (b2128 & b2130 & b2131 & b2129), "Choline transport via ABC system", M_atp_c + M_chol_e + M_h2o_c -> M_adp_c + M_chol_c + M_h_c + M_pi_c, 0.0, 999999.0
R_BETALDHy, b0312, "Betaine-aldehyde dehydrogenase", M_betald_c + M_h2o_c + M_nadp_c -> M_glyb_c + 2.0 M_h_c + M_nadph_c, 0.0, 999999.0
R_NO3R2, (b1225 & b1226 & b1227 & b1224), "Nitrate reductase (Menaquinol-8)", 2.0 M_h_c + M_mql8_c + M_no3_c -> M_h2o_c + 2.0 M_h_e + M_mqn8_c + M_no2_c, 0.0, 999999.0
R_MI1PP, b2533, "Myo-inositol 1-phosphatase", M_h2o_c + M_mi1p__D_c -> M_inost_c + M_pi_c, 0.0, 999999.0
R_ABUTt2r, b2663, "4 aminobutyrate reversible transport in via proton symport", M_4abut_e + M_h_e -> M_4abut_c + M_h_c, 0.0, 999999.0
R_KG6PDC, (b4196 | b3581), "3-keto-L-gulonate 6-phosphate decarboxylase", M_3dhgulnp_c + M_h_c -> M_co2_c + M_xu5p__L_c, 0.0, 999999.0
R_PFL, ((b3951 & b3952) | (b0902 & b0903) | b3114), "Pyruvate formate lyase", M_coa_c + M_pyr_c -> M_accoa_c + M_for_c, 0.0, 999999.0
R_URIt2_copy1, (b2964 | b2393), "Uridine transport in via proton symport", M_h_e + M_uri_e -> M_h_c + M_uri_c, 0.0, 999999.0
R_G1PP, b1002, "Glucose-1-phosphatase", M_g1p_c + M_h2o_c -> M_glc__D_c + M_pi_c, 0.0, 999999.0
R_GALUi_copy1, b1236, "UTP-glucose-1-phosphate uridylyltransferase (irreversible)", M_g1p_c + M_h_c + M_utp_c <-> M_ppi_c + M_udpg_c, -999999.0, 999999.0
R_ALCD19, b0356, "Alcohol dehydrogenase (glycerol)", M_glyald_c + M_h_c + M_nadh_c <-> M_glyc_c + M_nad_c, -999999.0, 999999.0
R_GLYCLTt2r, (b3603 | b2975), "Glycolate transport via proton symport, reversible", M_glyclt_e + M_h_e <-> M_glyclt_c + M_h_c, -999999.0, 999999.0
R_METDabc, (b0197 & b0199 & b0198), "D-methionine transport via ABC system", M_atp_c + M_h2o_c + M_met__D_e -> M_adp_c + M_h_c + M_met__D_c + M_pi_c, 0.0, 999999.0
R_NTD5, b0480, "5'-nucleotidase (dTMP)", M_dtmp_c + M_h2o_c -> M_pi_c + M_thymd_c, 0.0, 999999.0
R_EX_tsul_e, , "Thiosulfate exchange", M_tsul_e <-> M_tsul_b, -999999.0, 999999.0
R_CINNDO, (b2542 & b2539 & b2538 & b2540), "Cinnamate dioxygenase", M_cinnm_c + M_h_c + M_nadh_c + M_o2_c -> M_cenchddd_c + M_nad_c, 0.0, 999999.0
R_NMNP, b0751, "NMN permease", M_nmn_e -> M_nmn_c, 0.0, 999999.0
R_GLUABUTt7, b1492, "4-aminobutyrate/glutamate antiport", M_4abut_c + M_glu__L_e <-> M_4abut_e + M_glu__L_c, -999999.0, 999999.0
R_AACPS4, b2836, "Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)", M_ACP_c + M_atp_c + M_hdcea_c -> M_amp_c + M_hdeACP_c + M_ppi_c, 0.0, 999999.0
R_EX_4abut_e, , "4-Aminobutanoate exchange", M_4abut_e <-> M_4abut_b, -999999.0, 999999.0
R_PUNP3, (b2407 | b4384), "Purine-nucleoside phosphorylase (Guanosine)", M_gsn_c + M_pi_c <-> M_gua_c + M_r1p_c, -999999.0, 999999.0
R_PTPATi, b3634, "Pantetheine-phosphate adenylyltransferase", M_atp_c + M_h_c + M_pan4p_c -> M_dpcoa_c + M_ppi_c, 0.0, 999999.0
R_PRAIi, b1262, "Phosphoribosylanthranilate isomerase (irreversible)", M_pran_c -> M_2cpr5p_c, 0.0, 999999.0
R_RHCCE, b2687, "S-ribosylhomocysteine cleavage enzyme", M_rhcys_c -> M_dhptd_c + M_hcys__L_c, 0.0, 999999.0
R_PRATPP, b2026, "Phosphoribosyl-ATP pyrophosphatase", M_h2o_c + M_prbatp_c -> M_h_c + M_ppi_c + M_prbamp_c, 0.0, 999999.0
R_DAPE, b3809, "Diaminopimelate epimerase", M_26dap_LL_c <-> M_26dap__M_c, -999999.0, 999999.0
R_EX_pyr_e, , "Pyruvate exchange", M_pyr_e <-> M_pyr_b, -999999.0, 999999.0
R_ICL, b4015, "Isocitrate lyase", M_icit_c -> M_glx_c + M_succ_c, 0.0, 999999.0
R_ADCS, (b3360 & b1812), "4-amino-4-deoxychorismate synthase", M_chor_c + M_gln__L_c -> M_4adcho_c + M_glu__L_c, 0.0, 999999.0
R_ALATA_L2, b2551, "Alanine transaminase", M_ala__L_c + M_pydx5p_c -> M_pyam5p_c + M_pyr_c, 0.0, 999999.0
R_CMPN, , "CMP nucleosidase", M_cmp_c + M_h2o_c -> M_csn_c + M_r5p_c, 0.0, 999999.0
R_GUAPRT, (b0238 | b0125), "Guanine phosphoribosyltransferase", M_gua_c + M_prpp_c -> M_gmp_c + M_ppi_c, 0.0, 999999.0
R_TRPS1, (b1260 & b1261), "Tryptophan synthase (indoleglycerol phosphate)", M_3ig3p_c + M_ser__L_c -> M_g3p_c + M_h2o_c + M_trp__L_c, 0.0, 999999.0
R_GPDDA3, b2239, "Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)", M_g3ps_c + M_h2o_c -> M_glyc3p_c + M_h_c + M_ser__L_c, 0.0, 999999.0
R_SERD_D, b2366, "D-serine deaminase", M_ser__D_c -> M_nh4_c + M_pyr_c, 0.0, 999999.0
R_AACPS1, b2836, "Acyl-[acyl-carrier-protein] synthetase (n-C14:0)", M_ACP_c + M_atp_c + M_ttdca_c -> M_amp_c + M_myrsACP_c + M_ppi_c, 0.0, 999999.0
R_ACGAMT, b3784, "UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase", M_uacgam_c + M_udcpp_c -> M_ump_c + M_unaga_c, 0.0, 999999.0
R_EX_taur_e, , "Taurine exchange", M_taur_e <-> M_taur_b, -999999.0, 999999.0
R_PDXPP, , "Pyridoxine 5-phosphate phosphatase", M_h2o_c + M_pdx5p_c -> M_pi_c + M_pydxn_c, 0.0, 999999.0
R_IPPS, b0074, "2-isopropylmalate synthase", M_3mob_c + M_accoa_c + M_h2o_c -> M_3c3hmp_c + M_coa_c + M_h_c, 0.0, 999999.0
R_PSERT, b0907, "Phosphoserine transaminase", M_3php_c + M_glu__L_c -> M_akg_c + M_pser__L_c, 0.0, 999999.0
R_GLGC, b3430, "Glucose-1-phosphate adenylyltransferase", M_atp_c + M_g1p_c + M_h_c -> M_adpglc_c + M_ppi_c, 0.0, 999999.0
R_GLCP, (b3428 | b3417), "Glycogen phosphorylase", M_glycogen_c + M_pi_c -> M_g1p_c, 0.0, 999999.0
R_EX_mnl_e, , "D-Mannitol exchange", M_mnl_e <-> M_mnl_b, -999999.0, 999999.0
R_NMNAT, b0639, "Nicotinamide-nucleotide adenylyltransferase", M_atp_c + M_h_c + M_nmn_c -> M_nad_c + M_ppi_c, 0.0, 999999.0
R_MALTHXabc, (b4032 & b4035 & b4033 & b4036 & b4034), "Maltohexaose transport via ABC system", M_atp_c + M_h2o_c + M_malthx_e -> M_adp_c + M_h_c + M_malthx_c + M_pi_c, 0.0, 999999.0
R_GTPCII2, b1277, "GTP cyclohydrolase II (25drapp)", M_gtp_c + 3.0 M_h2o_c -> M_25drapp_c + M_for_c + 2.0 M_h_c + M_ppi_c, 0.0, 999999.0
R_PROt2r, b4111, "L proline reversible transport via proton symport", M_h_e + M_pro__L_e <-> M_h_c + M_pro__L_c, -999999.0, 999999.0
R_GALS3, b4119, "A-galactosidase (melibiose)", M_h2o_c + M_melib_c -> M_gal_c + M_glc__D_c, 0.0, 999999.0
R_EX_hdca_e, , "Hexadecanoate (n-C16:0) exchange", M_hdca_e <-> M_hdca_b, -999999.0, 999999.0
R_RNTR2, b4238, "Ribonucleoside triphosphate reductase  GTP ", M_gtp_c + M_trdrd_c -> M_dgtp_c + M_h2o_c + M_trdox_c, 0.0, 999999.0
R_SSALx, , "Succinate-semialdehyde dehydrogenase (NAD)", M_h2o_c + M_nad_c + M_sucsal_c -> 2.0 M_h_c + M_nadh_c + M_succ_c, 0.0, 999999.0
R_SPMS, b0121, "Spermidine synthase", M_ametam_c + M_ptrc_c -> M_5mta_c + M_h_c + M_spmd_c, 0.0, 999999.0
R_THZPSN, ((b3991 & b3990) & b4407 & b0423 & b3992 & b2530), "Thiazole phosphate synthesis", M_atp_c + M_cys__L_c + M_dxyl5p_c + M_tyr__L_c -> M_4hba_c + M_4mpetz_c + M_ala__L_c + M_amp_c + M_co2_c + M_h2o_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_THRabc, (b3455 & b3457 & b3460 & b3454 & b3456), "L-threonine transport via ABC system", M_atp_c + M_h2o_c + M_thr__L_e -> M_adp_c + M_h_c + M_pi_c + M_thr__L_c, 0.0, 999999.0
R_LDH_D2, b2133, "D-lactate dehydrogenase", M_lac__D_c + M_q8_c -> M_pyr_c + M_q8h2_c, 0.0, 999999.0
R_ACACCT, (b2222 & b2221), "Acetyl-CoA:acetoacetyl-CoA transferase", M_acac_c + M_accoa_c -> M_aacoa_c + M_ac_c, 0.0, 999999.0
R_USHD, b0480, "UDP-sugar hydrolase", M_h2o_c + M_u23ga_c -> 2.0 M_h_c + M_lipidX_c + M_ump_c, 0.0, 999999.0
R_RBFSa, b1662, "Riboflavin synthase", M_4r5au_c + M_db4p_c -> M_dmlz_c + 2.0 M_h2o_c + M_pi_c, 0.0, 999999.0
R_NNATr, b0639, "Nicotinate-nucleotide adenylyltransferase", M_atp_c + M_h_c + M_nicrnt_c -> M_dnad_c + M_ppi_c, 0.0, 999999.0
R_PTRCabc, ((b0855 & b0857 & b0854 & b0856) | (b1443 & b1442 & b1440 & b1441) | (b1123 & b1125 & b1124 & b1126)), "Putrescine transport via ABC system", M_atp_c + M_h2o_c + M_ptrc_e -> M_adp_c + M_h_c + M_pi_c + M_ptrc_c, 0.0, 999999.0
R_EX_man6p_e, , "D-Mannose 6-phosphate exchange", M_man6p_e <-> M_man6p_b, -999999.0, 999999.0
R_PPCK, b3403, "Phosphoenolpyruvate carboxykinase", M_atp_c + M_oaa_c -> M_adp_c + M_co2_c + M_pep_c, 0.0, 999999.0
R_IMPD, b2508, "IMP dehydrogenase", M_h2o_c + M_imp_c + M_nad_c -> M_h_c + M_nadh_c + M_xmp_c, 0.0, 999999.0
R_DDPGALA, b3692, "2-dehydro-3-deoxy-6-phosphogalactonate aldolase", M_2dh3dgal6p_c <-> M_g3p_c + M_pyr_c, -999999.0, 999999.0
R_GLUabc, (b0653 & b0654 & b0655 & b0652), "L-glutamate transport via ABC system", M_atp_c + M_glu__L_e + M_h2o_c -> M_adp_c + M_glu__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_DTMPK, b1098, "DTMP kinase", M_atp_c + M_dtmp_c <-> M_adp_c + M_dtdp_c, -999999.0, 999999.0
R_DURIt2, (b2964 | b2393), "Deoxyuridine transport in via proton symport", M_duri_e + M_h_e -> M_duri_c + M_h_c, 0.0, 999999.0
R_SHK3Dr, (b3281 | b1692), "Shikimate dehydrogenase", M_3dhsk_c + M_h_c + M_nadph_c <-> M_nadp_c + M_skm_c, -999999.0, 999999.0
R_EX_k_e, , "K+ exchange", M_k_e <-> M_k_b, -999999.0, 999999.0
R_OHPHM, b2232, "2-octaprenyl-6-hydroxyphenol methylase", M_2ohph_c + M_amet_c -> M_2omph_c + M_ahcys_c + M_h_c, 0.0, 999999.0
R_UAGPT3, b0090, "UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase", M_uacgam_c + M_uagmda_c -> M_h_c + M_uaagmda_c + M_udp_c, 0.0, 999999.0
R_ADOCBLS, b1992, "Adenosylcobalamin 5'-phosphate synthase", M_agdpcbi_c + M_rdmbzi_c -> M_adocbl_c + M_gmp_c + M_h_c, 0.0, 999999.0
R_DHFR, b0048, "Dihydrofolate reductase", M_dhf_c + M_h_c + M_nadph_c <-> M_nadp_c + M_thf_c, -999999.0, 999999.0
R_EX_rmn_e, , "L-Rhamnose exchange", M_rmn_e <-> M_rmn_b, -999999.0, 999999.0
R_UGLYCH, b0505, "Ureidoglycolate hydrolase", M_h2o_c + 2.0 M_h_c + M_urdglyc_c -> M_co2_c + M_glx_c + 2.0 M_nh4_c, 0.0, 999999.0
R_SPMDAT2, b1584, "Spermidine acetyltransferase (N8)", M_accoa_c + M_spmd_c -> M_coa_c + M_h_c + M_n8aspmd_c, 0.0, 999999.0
R_OXGDC2, b2264, "2-oxoglutarate decarboxylase", M_akg_c + M_h_c + M_thmpp_c -> M_co2_c + M_ssaltpp_c, 0.0, 999999.0
R_EX_nac_e, , "Nicotinate exchange", M_nac_e <-> M_nac_b, -999999.0, 999999.0
R_LPSSYN_EC, (b3622 & b3626 & b3631 & b3627 & b3621 & b3620), "Lipopolysaccharide synthesis (Ecoli)", 3.0 M_adphep_LD_c + 2.0 M_cdpea_c + 3.0 M_ckdo_c + M_lipa_c + 2.0 M_udpg_c -> 3.0 M_adp_c + 2.0 M_cdp_c + 3.0 M_cmp_c + 10.0 M_h_c + M_lps_EC_c + 2.0 M_udp_c, 0.0, 999999.0
R_EX_12ppd__S_e, , "(S)-Propane-1,2-diol exchange", M_12ppd__S_e <-> M_12ppd__S_b, -999999.0, 999999.0
R_EX_gam_e, , "D-Glucosamine exchange", M_gam_e <-> M_gam_b, -999999.0, 999999.0
R_PPAKr, b3115, "Propionate kinase", M_adp_c + M_ppap_c <-> M_atp_c + M_ppa_c, -999999.0, 999999.0
R_EX_ile__L_e, , "L-Isoleucine exchange", M_ile__L_e <-> M_ile__L_b, -999999.0, 999999.0
R_PAPA_EC, , "Phosphatidate phosphatase", M_h2o_c + 0.02 M_pa_EC_c -> 0.02 M_12dgr_EC_c + M_pi_c, 0.0, 999999.0
R_GLYAT, b3617, "Glycine C-acetyltransferase", M_accoa_c + M_gly_c <-> M_2aobut_c + M_coa_c, -999999.0, 0.0
R_ASNabc, , "L-asparagine transport via ABC system", M_asn__L_e + M_atp_c + M_h2o_c -> M_adp_c + M_asn__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_LEUabc, ((b3455 & b3460 & b3457 & b3454 & b3456) | (b3455 & b3454 & b3457 & b3458 & b3456)), "L-leucine transport via ABC system", M_atp_c + M_h2o_c + M_leu__L_e -> M_adp_c + M_h_c + M_leu__L_c + M_pi_c, 0.0, 999999.0
R_DAGK_EC, b4042, "Diacylglycerol kinase", 0.02 M_12dgr_EC_c + M_atp_c -> M_adp_c + M_h_c + 0.02 M_pa_EC_c, 0.0, 999999.0
R_EX_dgsn_e, , "Deoxyguanosine exchange", M_dgsn_e <-> M_dgsn_b, -999999.0, 999999.0
R_CYTD, b2143, "Cytidine deaminase", M_cytd_c + M_h2o_c + M_h_c -> M_nh4_c + M_uri_c, 0.0, 999999.0
R_ARAI, b0062, "L-arabinose isomerase", M_arab__L_c <-> M_rbl__L_c, -999999.0, 999999.0
R_DRPA, b4381, "Deoxyribose-phosphate aldolase", M_2dr5p_c -> M_acald_c + M_g3p_c, 0.0, 999999.0
R_ACGApts, ((b2415 & b2417 & b2416 & b1101) | (b2415 & b2416 & b0679)), "N-Acetyl-D-glucosamine transport via PEP:Pyr PTS", M_acgam_e + M_pep_c -> M_acgam6p_c + M_pyr_c, 0.0, 999999.0
R_SUCOAS, (b0728 & b0729), "Succinyl-CoA synthetase (ADP-forming)", M_atp_c + M_coa_c + M_succ_c <-> M_adp_c + M_pi_c + M_succoa_c, -999999.0, 999999.0
R_ADHEr, b1241, "Acetaldehyde dehydrogenase", M_accoa_c + 2.0 M_h_c + 2.0 M_nadh_c <-> M_coa_c + M_etoh_c + 2.0 M_nad_c, -999999.0, 999999.0
R_ASPO3_1, b2574, "L-aspartate oxidase", M_asp__L_c + M_q8_c -> M_iasp_c + M_q8h2_c, 0.0, 999999.0
R_P5CR, b0386, "Pyrroline-5-carboxylate reductase", M_1pyr5c_c + 2.0 M_h_c + M_nadph_c -> M_nadp_c + M_pro__L_c, 0.0, 999999.0
R_PLIPA1, b3821, "Phospholipase A (phosphatidylglycerol)", M_h2o_c + 0.02 M_pg_EC_c -> 0.02 M_agpg_EC_c + M_h_c + 0.36 M_hdca_c + 0.07 M_hdcea_c + 0.5 M_ocdcea_c + 0.02 M_ttdca_c + 0.05 M_ttdcea_c, 0.0, 999999.0
R_HYD2, ((b2994 & b2997) | (b0974 & b0972 & b0973)), "Hydrogenase (menaquinone8: 2 protons)", M_h2_c + 2.0 M_h_c + M_mqn8_c -> 2.0 M_h_e + M_mql8_c, 0.0, 999999.0
R_G5SADs, , "L-glutamate 5-semialdehyde dehydratase (spontaneous)", M_glu5sa_c -> M_1pyr5c_c + M_h2o_c + M_h_c, 0.0, 999999.0
R_GMPS2, b2507, "GMP synthase", M_atp_c + M_gln__L_c + M_h2o_c + M_xmp_c -> M_amp_c + M_glu__L_c + M_gmp_c + 2.0 M_h_c + M_ppi_c, 0.0, 999999.0
R_NADPPPS, , "NADP phosphatase", M_h2o_c + M_nadp_c -> M_nad_c + M_pi_c, 0.0, 999999.0
R_SSALy, b2661, "Succinate-semialdehyde dehydrogenase (NADP)", M_h2o_c + M_nadp_c + M_sucsal_c -> 2.0 M_h_c + M_nadph_c + M_succ_c, 0.0, 999999.0
R_3HCINNMH, b0347, "3-hydroxycinnamate hydroxylase", M_3hcinnm_c + M_h_c + M_nadh_c + M_o2_c -> M_dhcinnm_c + M_h2o_c + M_nad_c, 0.0, 999999.0
R_ASPt2r, b4077, "L aspartate reversible transport via proton symport", M_asp__L_e + M_h_e -> M_asp__L_c + M_h_c, 0.0, 999999.0
R_PERD, b2320, "Erythronate 4-phosphate (4per) dehydrogenase", M_4per_c + M_nad_c <-> M_h_c + M_nadh_c + M_ohpb_c, -999999.0, 999999.0
R_ALDD19xr, b1385, "Aldehyde dehydrogenase (phenylacetaldehyde, NAD)", M_h2o_c + M_nad_c + M_pacald_c -> 2.0 M_h_c + M_nadh_c + M_pac_c, 0.0, 999999.0
